iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-39232,127191,Tultulanen Ta Alawen,REGION X,BUKIDNON,LIBONA,1ST DISTRICT,8.0947,124.4921,regionx_bukidnon,69.418764,85.65,0,4.148331,TRUE,isolation_forest_outlier,isolation_forest
2026-10388,101181,Lucap ES,REGION I,ALAMINOS CITY,DISTRICT III,1ST DISTRICT,16.100652,120.186704,regioni_alaminos,21.584765,100,0,13.209933,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-38423,124142,Tinaplacan Elementary School,REGION VIII,CALBAYOG CITY,TINAMBACAN DISTRICT III,1ST DISTRICT,12.251869,124.369253,regionviii_calbayog,31.761515,98.85,6,5.857688,TRUE,isolation_forest_outlier,isolation_forest
2026-05610,110812,Melville Elementary School,MIMAROPA,PALAWAN,BALABAC,2ND DISTRICT,7.8315328,117.0006073,mimaropa_palawan,246.388595,78.64,2,3.620949,TRUE,isolation_forest_outlier,isolation_forest
2026-09352,101558,Bongar Elementary School,REGION I,"PANGASINAN I, LINGAYEN",MALASIQUI II,3RD DISTRICT,12.879299,121.773182,regioni_pangasinanilingayen,387.80381,99.4,1,46.389081,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-31645,501128,Sto. Rosario Integrated School,REGION VII,BOHOL,PRES. C. P. GARCIA,2ND DISTRICT,10.1119627,124.5986527,regionvii_bohol,95.511463,99.29,13,4.101272,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-08136,100487,Pilipil Elementary School,REGION I,ILOCOS SUR,CERVANTES-QUIRINO,2ND DISTRICT,16.9398465,120.757207,regioni_ilocossur,80.822854,97.63,7,7.103294,TRUE,isolation_forest_outlier,isolation_forest
2026-11906,300534,Dorganda High School,REGION II,ISABELA,SAN AGUSTIN,4TH DISTRICT,16.441196,121.735962,regionii_isabela,79.783454,99.1,13,4.146837,FALSE,extreme_outlier,univariate_percentile
2026-27044,114856,Yapak Elementary School,REGION VI,AKLAN,MALAY,LONE DISTRICT,11.9910092,121.9159565,regionvi_aklan,54.930854,99.21,3,7.876777,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-18298,108560,Bonifacio Elementary School,REGION IV-A,QUEZON,BURDEOS,1ST DISTRICT,15.0391986,121.9806174,iva_quezon,124.747726,95.82,4,8.053815,TRUE,isolation_forest_outlier,isolation_forest
2026-38419,124137,Malaga Central Elementary School,REGION VIII,CALBAYOG CITY,TINAMBACAN DISTRICT III,1ST DISTRICT,12.236961,124.376598,regionviii_calbayog,30.110706,98.28,6,5.479104,TRUE,isolation_forest_outlier,isolation_forest
