region,division,position_description,category,plantilla_position,personnel_count
Region XIII - CARAGA,Division of Butuan City,Schools Division Superintendent,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Cabadbaran City,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Cabadbaran City,Guidance Counselor II,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Cabadbaran City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,1
Region XIII - CARAGA,Division of Cabadbaran City,Registrar I,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Cabadbaran City,Schools Division Superintendent,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Dinagat Island,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Dinagat Island,Guidance Counselor I,Related-Teaching Personnel,Unfilled,1
Region XIII - CARAGA,Division of Dinagat Island,Guidance Counselor III,Related-Teaching Personnel,Unfilled,1
Region XIII - CARAGA,Division of Dinagat Island,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,1
Region XIII - CARAGA,Division of Dinagat Island,Registrar I,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Dinagat Island,School Librarian III,Related-Teaching Personnel,Unfilled,1
Region XIII - CARAGA,Division of Dinagat Island,Schools Division Superintendent,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Siargao,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Siargao,School Librarian II,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Siargao,Schools Division Superintendent,Related-Teaching Personnel,Unfilled,1
Region XIII - CARAGA,Division of Surigao City,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Surigao City,Guidance Coordinator II,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Surigao City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,1
Region XIII - CARAGA,Division of Surigao City,Registrar I,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Surigao City,Schools Division Superintendent,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Surigao del Norte,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Surigao del Norte,Guidance Counselor II,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Surigao del Norte,Guidance Counselor III,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Surigao del Norte,Guidance Counselor III,Related-Teaching Personnel,Unfilled,1
Region XIII - CARAGA,Division of Surigao del Norte,School Librarian I,Related-Teaching Personnel,Unfilled,1
Region XIII - CARAGA,Division of Surigao del Norte,School Librarian III,Related-Teaching Personnel,Filled,1
Region XIII - CARAGA,Division of Surigao del Norte,Schools Division Superintendent,Related-Teaching Personnel,Filled,1
