region,division,position,classification,status,number
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher VI,School Head Positions,Filled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,School Principal I,School Head Positions,Filled,18
Region XII - SOCCSKSARGEN,Division of Tacurong City,School Principal II,School Head Positions,Filled,9
Region XII - SOCCSKSARGEN,Division of Tacurong City,School Principal III,School Head Positions,Filled,3
Region XII - SOCCSKSARGEN,Division of Tacurong City,School Principal IV,School Head Positions,Filled,1
Region XII - SOCCSKSARGEN,Division of Tacurong City,Assistant School Principal I,School Head Positions,Filled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Assistant School Principal II,School Head Positions,Filled,3
Region XII - SOCCSKSARGEN,Division of Tacurong City,Assistant School Principal III,School Head Positions,Filled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Special School Principal I,School Head Positions,Filled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Special School Principal II,School Head Positions,Filled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Assistant Special School Principal I,School Head Positions,Filled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher I,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher II,School Head Positions,Unfilled,1
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher III,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher IV,School Head Positions,Unfilled,1
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher V,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher VI,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,School Principal I,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,School Principal II,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,School Principal III,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,School Principal IV,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Assistant School Principal I,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Assistant School Principal II,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Assistant School Principal III,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Special School Principal I,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Special School Principal II,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher I,School Head Positions,Filled,10
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher II,School Head Positions,Filled,2
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher III,School Head Positions,Filled,8
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher IV,School Head Positions,Filled,1
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher V,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher VI,School Head Positions,Filled,33
Region VIII - Eastern Visayas,Division of Tacloban City,School Principal I,School Head Positions,Filled,10
Region VIII - Eastern Visayas,Division of Tacloban City,School Principal II,School Head Positions,Filled,18
Region VIII - Eastern Visayas,Division of Tacloban City,School Principal III,School Head Positions,Filled,10
Region VIII - Eastern Visayas,Division of Tacloban City,School Principal IV,School Head Positions,Filled,17
Region VIII - Eastern Visayas,Division of Tacloban City,Assistant School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Assistant School Principal II,School Head Positions,Filled,3
Region VIII - Eastern Visayas,Division of Tacloban City,Assistant School Principal III,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Special School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Special School Principal II,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Assistant Special School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher I,School Head Positions,Unfilled,1
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher II,School Head Positions,Unfilled,1
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher III,School Head Positions,Unfilled,2
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher IV,School Head Positions,Unfilled,1
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher V,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Head Teacher VI,School Head Positions,Unfilled,1
Region VIII - Eastern Visayas,Division of Tacloban City,School Principal I,School Head Positions,Unfilled,3
Region VIII - Eastern Visayas,Division of Tacloban City,School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Tacloban City,School Principal III,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Tacloban City,School Principal IV,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Assistant School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Assistant School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Assistant School Principal III,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Special School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Special School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Tacloban City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher I,School Head Positions,Filled,3
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher II,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher III,School Head Positions,Filled,22
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher IV,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher V,School Head Positions,Filled,1
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher VI,School Head Positions,Filled,8
Cordillera Administrative Region (CAR),Division of Tabuk City,School Principal I,School Head Positions,Filled,34
Cordillera Administrative Region (CAR),Division of Tabuk City,School Principal II,School Head Positions,Filled,4
Cordillera Administrative Region (CAR),Division of Tabuk City,School Principal III,School Head Positions,Filled,6
Cordillera Administrative Region (CAR),Division of Tabuk City,School Principal IV,School Head Positions,Filled,1
Cordillera Administrative Region (CAR),Division of Tabuk City,Assistant School Principal I,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Assistant School Principal II,School Head Positions,Filled,1
Cordillera Administrative Region (CAR),Division of Tabuk City,Assistant School Principal III,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Special School Principal I,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Special School Principal II,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Assistant Special School Principal I,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher I,School Head Positions,Unfilled,1
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher II,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher III,School Head Positions,Unfilled,2
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher IV,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher V,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Head Teacher VI,School Head Positions,Unfilled,1
Cordillera Administrative Region (CAR),Division of Tabuk City,School Principal I,School Head Positions,Unfilled,3
Cordillera Administrative Region (CAR),Division of Tabuk City,School Principal II,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,School Principal III,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,School Principal IV,School Head Positions,Unfilled,1
Cordillera Administrative Region (CAR),Division of Tabuk City,Assistant School Principal I,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Assistant School Principal II,School Head Positions,Unfilled,1
Cordillera Administrative Region (CAR),Division of Tabuk City,Assistant School Principal III,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Special School Principal I,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Special School Principal II,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Tabuk City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region V - Bicol,Division of Tabaco City,Head Teacher I,School Head Positions,Filled,6
Region V - Bicol,Division of Tabaco City,Head Teacher II,School Head Positions,Filled,1
Region V - Bicol,Division of Tabaco City,Head Teacher III,School Head Positions,Filled,9
Region V - Bicol,Division of Tabaco City,Head Teacher IV,School Head Positions,Filled,0
Region V - Bicol,Division of Tabaco City,Head Teacher V,School Head Positions,Filled,0
Region V - Bicol,Division of Tabaco City,Head Teacher VI,School Head Positions,Filled,6
Region V - Bicol,Division of Tabaco City,School Principal I,School Head Positions,Filled,28
Region V - Bicol,Division of Tabaco City,School Principal II,School Head Positions,Filled,9
Region V - Bicol,Division of Tabaco City,School Principal III,School Head Positions,Filled,5
Region V - Bicol,Division of Tabaco City,School Principal IV,School Head Positions,Filled,2
Region V - Bicol,Division of Tabaco City,Assistant School Principal I,School Head Positions,Filled,0
Region V - Bicol,Division of Tabaco City,Assistant School Principal II,School Head Positions,Filled,2
Region V - Bicol,Division of Tabaco City,Assistant School Principal III,School Head Positions,Filled,0
Region V - Bicol,Division of Tabaco City,Special School Principal I,School Head Positions,Filled,0
Region V - Bicol,Division of Tabaco City,Special School Principal II,School Head Positions,Filled,0
Region V - Bicol,Division of Tabaco City,Assistant Special School Principal I,School Head Positions,Filled,0
